"Model","slope","slope_err","intercept","intercept_err","r_squared","p_slope","lowerupper","upperbound"
"upper ages",-0.000285897108883178,7.33197863166678e-06,2.68371360490022,0.0325495707340881,0.996069356250328,1.90056295298692e-08,2478.36607514383,7268.754292
"lower ages",-0.000454504758306286,1.77731994898691e-05,3.10158508324019,0.033845260487426,0.995433453868292,0.000131149505146476,0,2478.36607514383
