"Model","slope","slope_err","intercept","intercept_err","r_squared","p_slope","plotupper","upperbound"
"upper ages",-3484.01339258501,89.3493181748551,9367.00939719824,132.822678894285,0.996069356250328,1.90056295298694e-08,1.98354586237988,0
"lower ages",-2190.14968639224,85.6447959620519,6800.57139629606,203.672666997316,0.995433453868292,0.000131149505146477,3.10158508324019,1.98354586237988
