section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
JDL,TT209,121.2640247,23.04365836,2006.722394,1127.517023,0.969014085,0.023716587,344,101.2965942,12,8,1,1,Chang_1967,3047.348485
JDL,TT208,121.2672428,23.0433389,925.4760263,504.704408,0.910569106,0.063342697,224,58.35237784,24,16,2,2,Chang_1967,3548.453283
JDL,TT207,121.2706924,23.0430795,563.5411286,321.9794359,0.832214765,0.114685154,124,32.75667871,42,18.68154169,17,5.385164807,Chang_1967,3743.318603
JDL,TT206,121.2730678,23.04265661,605.1782923,493.1555094,0.846153846,0.15309837,33,12.04159458,9,6,3,3,Chang_1967,3910.353535
JDL,TT205,121.2734901,23.04126423,642.6116544,450.2020335,0.857142857,0.123554352,66,17.17556404,27,9.433981132,16,5.099019514,Chang_1967,3975.299874
JDL,TT204,121.2760146,23.03932022,1165.39419,825.3580103,0.934306569,0.062268237,128,45.79301257,12,8,3,3,Chang_1967,4225.852273
JDL,TT203,121.2779463,23.03768437,566.6720422,213.3433611,0.833333333,0.074316732,150,46.55104725,46,12.04159458,16,5.099019514,Chang_1967,4300.11048
JDL,TT202,121.2791596,23.03377279,1484.476098,903.5543572,0.952830189,0.038861443,202,52.52618395,12,8,2,2,Chang_1967,4337.226431
JDL,TT201,121.2829833,23.0318749,1349.901944,1502.382671,0.946236559,0.08163765,264,59.46427499,57,18.27566688,42,15.29705854,Chang_1967,4717.697811
FTL,TT166,121.2183639,22.97200696,691.051198,365.7539439,0.869565217,0.085941493,60,19.4422221,10,6.08276253,1,1,Chang_1967,1912.378998
FTL,TT168,121.2189168,22.96889916,679.0880584,376.1029578,0.866666667,0.091744384,182,61.04096985,31,20.02498439,3,2.236067977,Chang_1967,2190.761785
FTL,TT165,121.2208385,22.97156695,232.2311384,140.3949215,0.578431373,0.213105176,118,35.21363372,232,58.85575588,146,39.06404997,Chang_1967,2255.734428
FTL,TT167,121.2203491,22.96900086,1141.420324,469.2782413,0.932432432,0.036227605,276,105.3328059,20,8.602325267,0,0,Chang_1967,2320.680766
FTL,TT164,121.2212592,22.97050218,169.4741187,48.24035065,0.465,0.10147569,93,22.22611077,116,35.18522417,9,3.605551275,Chang_1967,2348.537458
FTL,TT163,121.2213406,22.96862656,532.4440975,171.3907054,0.820408163,0.067041042,201,42.32020794,66,16.76305461,22,5.830951895,Chang_1967,2422.76936
FTL,TT162,121.224386,22.96887695,1877.697043,1147.724468,0.965986395,0.028410016,142,36.93237063,6,4,1,1,Chang_1967,2601.246843
FTL,TT161,121.2285611,22.96797598,1388.448744,6809.577781,0.948275862,0.348681136,55,16.64331698,38,15.13274595,35,15,Chang_1967,2979.561237
FTL,TT160,121.2342111,22.96800046,497.4937186,99.49874372,,,,,,,,,Chang_1967,3481.297348
FTL,TT158,121.2420409,22.96534004,1036.528318,642.432658,0.923076923,0.062911403,60,19.4422221,6,4,1,1,Chang_1967,4018.886785
BCa,HL212,121.2792164,23.14311876,750.520854,308.1362066,0.882550336,0.060282195,263,67.34240863,35,18.27566688,0,0,Chang_1969,10.89015152
BCa,HL221,121.2792007,23.14088634,56.84820014,10.26256953,,,,,,,,,Chang_1969,39.72011785
BCa,HL222,121.2795829,23.14049713,299.2910759,80.12796672,0.664639444,0.085012144,765,208.8971039,421,101.6808733,35,15,Chang_1969,195.7859848
BCa,HL214,121.2805284,23.14358136,315.4745098,88.88999206,0.681434599,0.087197429,323,93.9946807,167,41.49698784,16,5.099019514,Chang_1969,236.584596
BCa,HL223,121.2799479,23.14016451,304.4390351,84.43150401,0.670126874,0.08741357,581,154.2757272,336,82.29823813,50,15.8113883,Chang_1969,255.1294192
BCa,HL215,121.281762,23.14408465,304.0896379,90.39104481,0.669758813,0.093949109,361,88.03976374,254,56.62155067,76,25.01999201,Chang_1969,347.9324495
BCa,HL224,121.2817214,23.13867116,176.8316253,48.97735255,0.480349345,0.099024629,220,52.5642464,309,69.13754407,71,30.01666204,Chang_1969,468.565867
BCa,HL225,121.2818955,23.1342902,305.4727466,74.11161326,0.671212121,0.075941478,443,117.239072,218,47.71792116,1,1,Chang_1969,604.0877525
BCa,HL226,121.2831039,23.13585534,293.993218,74.84882562,0.658844765,0.081402065,365,90.79096871,189,49.74937186,0,0,Chang_1969,686.3425926
BCa,HL227,121.2846436,23.13821199,261.7585432,71.99515407,0.620063191,0.092597734,785,227.2399613,592,124.5190748,111,29.17190429,Chang_1969,750
BCb,HL242,121.2954321,23.12077967,213.456343,56.93540033,0.548387097,0.094506868,102,22.47220505,100,25.67099531,16,5.099019514,Chang_1969,750
BCa,HL228,121.2883859,23.13866283,280.3028617,73.64541844,0.643142477,0.085956604,483,128.9767421,303,68.76045375,35,15,Chang_1969,1004.050926
BCa,HL229,121.2904145,23.13847131,232.8788986,61.93295858,0.579415502,0.092652777,456,126.5819892,346,85.77878526,15,6.08276253,Chang_1969,1086.647727
BCa,HL230,121.2918409,23.13790265,301.5834254,85.37044181,0.66710013,0.089710542,513,125.4392283,298,80.88263102,42,15.29705854,Chang_1969,1262.284301
BCa,HL231,121.2923544,23.13604963,162.6023305,42.62815931,0.450113379,0.092773567,397,103.4842983,527,129.7343439,42,15.29705854,Chang_1969,1364.346591
BCa,HL232,121.2929758,23.13387583,478.0577167,137.6113662,0.796232877,0.065860392,465,117.5797602,126,37.6696164,7,3,Chang_1969,1569.181397
Bca,HL239,121.2858075,23.11725547,552.6335434,187.1931768,0.828220859,0.068217022,270,66.80568838,70,22.20360331,14,6,Chang_1969,1569.181397
BCa,HLA131,121.2880235,23.11702573,475.9280715,249.7552895,0.795180723,0.122903863,66,17.17556404,18,12,1,1,Chang_1969,1841.987584
BCa,HLA132,121.2904973,23.11766766,186.6928035,121.7082505,0.5,0.23570226,15,10,15,10,0,0,Chang_1969,2111.084806
BCa,HL240,121.2932673,23.11855195,119.3172723,44.40461209,0.343283582,0.120503693,46,14.17744688,139,35.0142828,51,15.84297952,Chang_1969,2222.458965
BCa,HL241,121.2939064,23.11987117,1047.33508,659.7439827,0.924137931,0.063150622,536,153.0555455,120,28.05352028,76,25.01999201,Chang_1969,2287.405303
BCa,HL220,121.2788014,23.14133215,253.5467806,68.38264976,0.609120521,0.091753238,187,41.09744518,150,36.6469644,30,10,Chang_1969,-18.6763468
BBS,TTB134,121.3343046,23.09748438,567.8045109,314.1047875,0.83373494,0.110163214,346,108.1156788,140,40.5092582,71,30.01666204,Chang_1969,3786.142677
SGS,TT80,121.3459328,23.13006527,1950.033999,1785.773786,0.967741935,0.040990217,570,145.1309753,55,19.31320792,36,15.03329638,Chang_1969,3802.057029
SGS,TT79,121.3469564,23.12945708,1844.121717,3060.613565,0.965116279,0.080753964,498,117.686023,129,31.54362059,111,29.17190429,Chang_1969,3871.659301
SGS,TT78,121.3460968,23.12588629,712.3923503,232.0705671,0.874485597,0.05004375,425,97.1699542,91,21.88606863,30,10,Chang_1969,3871.659301
BBS,TTB133,121.3353781,23.09631865,617.7690797,269.8718412,0.85,0.079443595,102,22.5166605,26,10,8,3.16227766,Chang_1969,3964.462332
SGS,TT77,121.350981,23.12690906,639.5302064,216.7607383,0.856287425,0.058766612,286,67.78642932,64,19.23538406,16,5.099019514,Chang_1969,3964.462332
