unit,Mdt,Sst,AveMS,Ls
0,0.5,0.5,0,0
1,0.5,0.5,0,0
2,0.354313828,0.645686172,0,0
3,0.602281879,0.397718121,0,0
4,0,1,0,0
5,0.314389973,0.685610027,0,0
6,0.247923043,0.752076957,0,0
7,0.350411728,0.739860705,0,0
8,0.479168311,0.520831689,0,0
9,0.496014316,0.476706773,0,0
10,0.417885656,0.611771955,0.234822912,0
11,0.300974018,0.34355381,0,0
12,0.374947641,0.400378783,0.224673576,0
13,0.476015392,0.523984608,0,0
14,0,1,0,0
15,0,0,0,1
