section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
HKL,SK31,121.416482,23.49584742,292.5069939,214.328722,,,,,,,,,Chang_Chen_1970,3204.545455
HKL,SK32,121.4174796,23.49523604,51.38061536,124.7889916,,,,,,,,,Chang_Chen_1970,3287.089646
HKL,SK33,121.4185195,23.4902017,25.06510679,74.72067233,,,,,,,,,Chang_Chen_1970,3545.349327
HKL,SK34,121.4178419,23.4882593,50.90188245,145.6391687,,,,,,,,,Chang_Chen_1970,3492.68729
HKL,SK35,121.4169777,23.47807048,535.603693,469.061511,,,,,,,,,Chang_Chen_1970,3673.085017
HKL,SK36,121.4175209,23.47784099,1298.120707,998.5172541,,,,,,,,,Chang_Chen_1970,3766.57197
HKL,SK37,121.4181318,23.47762894,642.5710406,683.1319174,,,,,,,,,Chang_Chen_1970,3852.588384
HKL,SK38,121.4186453,23.47725732,357.1652025,202.2885346,,,,,,,,,Chang_Chen_1970,3895.175715
HKL,SK39,121.4194346,23.47705769,165.4853317,384.195258,,,,,,,,,Chang_Chen_1970,3929.661195
HKL,SK40,121.4201914,23.47708497,361.7571084,225.935423,,,,,,,,,Chang_Chen_1970,3954.150884
HKL,SK41,121.4210511,23.47737402,308.9668525,201.8948614,,,,,,,,,Chang_Chen_1970,3989.662247
HKL,SK42,121.4221678,23.47873767,761.334256,876.9163739,,,,,,,,,Chang_Chen_1970,4021.385732
HKL,SK44,121.4237536,23.4851628,708.280041,654.5253812,,,,,,,,,Chang_Chen_1970,3954.150884
HKL,SK45,121.4249808,23.48484087,243.3292367,177.5312498,,,,,,,,,Chang_Chen_1970,4043.63952
HKL,SK46,121.4254295,23.48492305,264.952826,52.9905652,,,,,,,,,Chang_Chen_1970,4071.496212
HKL,SK50,121.4266274,23.47652749,69.13754407,13.82750881,,,,,,,,,Chang_Chen_1970,4236.374158
HKL,SK52,121.4308065,23.4853356,416.3532331,573.9371156,,,,,,,,,Chang_Chen_1970,4607.559975
HKL,SK53,121.4321207,23.48664926,545.6693194,70.55480499,,,,,,,,,Chang_Chen_1970,4672.506313
HKL,SK55,121.4308546,23.49193838,70.71067812,14.14213562,,,,,,,,,Chang_Chen_1970,4412.694655
