"Age","Age_err","W","Werr","stratH","section","ID","source"
0.863004885756432,0.0151782105502415,636.1089442,541.5384389,5229.692761,"HKL","SK73","Chang_Chen_1970"
0.873646541697083,0.0148317571054391,1581.13883,316.227766,5200.363005,"HKL","SK68","Chang_Chen_1970"
0.873646541697083,0.0148317571054391,1635.481831,68.7657498,5200.363005,"HKL","SK69","Chang_Chen_1970"
0.877922292307912,0.0146944762879395,116.1895004,23.23790008,5188.578493,"HKL","SK74","Chang_Chen_1970"
0.897831255726758,0.0140709195257311,526.2615358,364.1610644,5133.70686,"HKL","SK67","Chang_Chen_1970"
0.917425264146005,0.0134849358322005,15.27213558,7.748959822,5079.703283,"HKL","SK66","Chang_Chen_1970"
0.92415384469902,0.0132907142299987,68.77019138,0.363488963,5061.15846,"HKL","SK63","Chang_Chen_1970"
0.92415384469902,0.0132907142299987,589.6930047,466.8406277,5061.15846,"HKL","SK72","Chang_Chen_1970"
0.937620550357727,0.0129137128773538,92.77384541,23.8847879,5024.042508,"HKL","SK65","Chang_Chen_1970"
0.937620550357727,0.0129137128773538,447.1169993,294.3544536,5024.042508,"HKL","SK71","Chang_Chen_1970"
0.947727737472024,0.012641714064406,335.8087841,195.1490481,4996.185816,"HKL","SK62","Chang_Chen_1970"
0.967923023320919,0.0121290774820998,152.9200717,310.724373,4940.525042,"HKL","SK61","Chang_Chen_1970"
0.988127853359664,0.011661823636522,1581.13883,316.227766,4884.837963,"HKL","SK64","Chang_Chen_1970"
1.01506126395142,0.0111197889238771,69.13754407,13.82750881,4810.606061,"HKL","SK59","Chang_Chen_1970"
1.0386351563616,0.0107311652031062,156.6702558,469.547681,4745.633418,"HKL","SK58","Chang_Chen_1970"
1.0386351563616,0.0107311652031062,333.3583119,207.2979572,4745.633418,"HKL","SK60","Chang_Chen_1970"
1.05238818445036,0.0105452593879711,166.8289142,98.27103994,4707.728325,"HKL","SK57","Chang_Chen_1970"
1.06516771569642,0.0104012843010953,545.6693194,70.55480499,4672.506313,"HKL","SK53","Chang_Chen_1970"
1.07590481244709,0.0103026280697614,339.4008878,178.6044677,4642.91351,"HKL","SK70","Chang_Chen_1970"
1.08873206391675,0.010212345334803,416.3532331,573.9371156,4607.559975,"HKL","SK52","Chang_Chen_1970"
1.15943465313041,0.0102748485280238,70.71067812,14.14213562,4412.694655,"HKL","SK55","Chang_Chen_1970"
1.22340866179105,0.0111127294308677,69.13754407,13.82750881,4236.374158,"HKL","SK50","Chang_Chen_1970"
1.28323099285761,0.0124361412385061,264.952826,52.9905652,4071.496212,"HKL","SK46","Chang_Chen_1970"
1.2933381799719,0.0127003165973527,243.3292367,177.5312498,4043.63952,"HKL","SK45","Chang_Chen_1970"
1.30141247678065,0.012918531661674,761.334256,876.9163739,4021.385732,"HKL","SK42","Chang_Chen_1970"
1.31292264456413,0.0132399518193198,308.9668525,201.8948614,3989.662247,"HKL","SK41","Chang_Chen_1970"
1.32580716044723,0.0136132139011875,361.7571084,225.935423,3954.150884,"HKL","SK40","Chang_Chen_1970"
1.32580716044723,0.0136132139011875,708.280041,654.5253812,3954.150884,"HKL","SK44","Chang_Chen_1970"
1.33469270468536,0.0138783378349732,165.4853317,384.195258,3929.661195,"HKL","SK39","Chang_Chen_1970"
1.34720500151825,0.0142615834529915,357.1652025,202.2885346,3895.175715,"HKL","SK38","Chang_Chen_1970"
1.36265687653326,0.0147496287488068,642.5710406,683.1319174,3852.588384,"HKL","SK37","Chang_Chen_1970"
1.39386603773584,0.015779164553133,1298.120707,998.5172541,3766.57197,"HKL","SK36","Chang_Chen_1970"
1.42778571946677,0.0169540569565913,535.603693,469.061511,3673.085017,"HKL","SK35","Chang_Chen_1970"
1.43128839904479,0.017078242861828,305.1347932,208.117609,3663.431187,"WL","SK21","Chang_Chen_1970"
1.44233090660521,0.017472914289278,252.6105544,130.7179193,3632.996633,"HKL","TTA70","Chang_1969"
1.4741318010476,0.0186339512810516,25.06510679,74.72067233,3545.349327,"HKL","SK33","Chang_Chen_1970"
1.48123260101365,0.0188976755098164,136.8619284,222.2220444,3525.77862,"WL","SK20","Chang_Chen_1970"
1.49323906122691,0.019346952712458,50.90188245,145.6391687,3492.68729,"HKL","SK34","Chang_Chen_1970"
1.49661766778819,0.0194741065536543,39.48262117,68.96051699,3483.375421,"WL","SK19","Chang_Chen_1970"
1.52732099237115,0.0206430396956446,120.3683494,64.81186731,3398.753157,"HKL","TTA74","Chang_1969"
1.56771041249331,0.0783855206246655,51.38061536,124.7889916,3287.089646,"HKL","SK32","Chang_Chen_1970"
1.57424047701164,0.078712023850582,622.2334013,459.4735789,3217.80303,"WL","SK18","Chang_Chen_1970"
1.57548996537035,0.0787744982685176,292.5069939,214.328722,3204.545455,"HKL","SK31","Chang_Chen_1970"
1.58641307255677,0.0793206536278384,570.8113409,79.53896726,3088.646886,"HKL","SK29","Chang_Chen_1970"
1.59234318436696,0.079617159218348,23.58363877,73.39987815,3025.72601,"HKL","SK28","Chang_Chen_1970"
1.59465374628011,0.0797326873140057,30.54436283,89.96557699,3001.210017,"WL","SK17","Chang_Chen_1970"
1.59876168742974,0.079938084371487,45.12597314,51.37685305,2957.623106,"HKL","SK27","Chang_Chen_1970"
1.60325885413557,0.0801629427067786,792.8875443,865.1203054,2909.906355,"HKL","SK26","Chang_Chen_1970"
1.60829151586575,0.0804145757932873,364.9171358,289.8718436,2856.507786,"HKL","SK7","Chang_Chen_1970"
1.60829151586575,0.0804145757932873,415.439592,247.6518679,2856.507786,"HKL","SK24","Chang_Chen_1970"
